team,PTS%,season
NJD,.646,2008
PIT,.604,2008
PHI,.604,2008
NYR,.579,2008
NYI,.372,2008
BOS,.707,2008
MTL,.567,2008
BUF,.555,2008
OTT,.506,2008
TOR,.494,2008
WSH,.659,2008
CAR,.591,2008
FLA,.567,2008
ATL,.463,2008
TBL,.402,2008
DET,.683,2008
CHI,.634,2008
STL,.561,2008
CBJ,.561,2008
NSH,.537,2008
VAN,.610,2008
CGY,.598,2008
MIN,.543,2008
EDM,.518,2008
COL,.421,2008
SJS,.713,2008
ANA,.555,2008
DAL,.506,2008
ARI,.482,2008
LAK,.482,2008
NJD,.628,2009
PIT,.616,2009
PHI,.537,2009
NYR,.530,2009
NYI,.482,2009
BUF,.610,2009
OTT,.573,2009
BOS,.555,2009
MTL,.537,2009
TOR,.451,2009
WSH,.738,2009
ATL,.506,2009
CAR,.488,2009
TBL,.488,2009
FLA,.470,2009
CHI,.683,2009
DET,.622,2009
NSH,.610,2009
STL,.549,2009
CBJ,.482,2009
VAN,.628,2009
COL,.579,2009
CGY,.549,2009
MIN,.512,2009
EDM,.378,2009
SJS,.689,2009
ARI,.652,2009
LAK,.616,2009
ANA,.543,2009
DAL,.537,2009
PHI,.646,2010
PIT,.646,2010
NYR,.567,2010
NJD,.494,2010
NYI,.445,2010
BOS,.628,2010
MTL,.585,2010
BUF,.585,2010
TOR,.518,2010
OTT,.451,2010
WSH,.652,2010
TBL,.628,2010
CAR,.555,2010
ATL,.488,2010
FLA,.439,2010
DET,.634,2010
NSH,.604,2010
CHI,.591,2010
STL,.530,2010
CBJ,.494,2010
VAN,.713,2010
CGY,.573,2010
MIN,.524,2010
COL,.415,2010
EDM,.378,2010
SJS,.640,2010
ANA,.604,2010
ARI,.604,2010
LAK,.598,2010
DAL,.579,2010
NYR,.665,2011
PIT,.659,2011
PHI,.628,2011
NJD,.622,2011
NYI,.482,2011
BOS,.622,2011
OTT,.561,2011
BUF,.543,2011
TOR,.488,2011
MTL,.476,2011
FLA,.573,2011
WSH,.561,2011
TBL,.512,2011
WPG,.512,2011
CAR,.500,2011
STL,.665,2011
NSH,.634,2011
DET,.622,2011
CHI,.616,2011
CBJ,.396,2011
VAN,.677,2011
CGY,.549,2011
COL,.537,2011
MIN,.494,2011
EDM,.451,2011
ARI,.591,2011
SJS,.585,2011
LAK,.579,2011
DAL,.543,2011
ANA,.488,2011
PIT,.750,2012
NYR,.583,2012
NYI,.573,2012
PHI,.510,2012
NJD,.500,2012
MTL,.656,2012
BOS,.646,2012
TOR,.594,2012
OTT,.583,2012
BUF,.500,2012
WSH,.594,2012
WPG,.531,2012
CAR,.438,2012
TBL,.417,2012
FLA,.375,2012
CHI,.802,2012
STL,.625,2012
DET,.583,2012
CBJ,.573,2012
NSH,.427,2012
VAN,.615,2012
MIN,.573,2012
EDM,.469,2012
CGY,.438,2012
COL,.406,2012
ANA,.688,2012
LAK,.615,2012
SJS,.594,2012
ARI,.531,2012
DAL,.500,2012
BOS,.713,2013
TBL,.616,2013
MTL,.610,2013
DET,.567,2013
OTT,.537,2013
TOR,.512,2013
FLA,.402,2013
BUF,.317,2013
PIT,.665,2013
NYR,.585,2013
PHI,.573,2013
CBJ,.567,2013
WSH,.549,2013
NJD,.537,2013
CAR,.506,2013
NYI,.482,2013
COL,.683,2013
STL,.677,2013
CHI,.652,2013
MIN,.598,2013
DAL,.555,2013
NSH,.537,2013
WPG,.512,2013
ANA,.707,2013
SJS,.677,2013
LAK,.610,2013
ARI,.543,2013
VAN,.506,2013
CGY,.470,2013
EDM,.409,2013
MTL,.671,2014
TBL,.659,2014
DET,.610,2014
